Execution Time: 8454.1ms
				Owen Wilson, depth=2, num children=0
				Willem Dafoe, depth=2, num children=0
				Anjelica Huston, depth=2, num children=0
				Michael Gambon, depth=2, num children=0
				Matthew Gray Gubler, depth=2, num children=0
				Antonio Monda, depth=2, num children=0
				Noah Baumbach, depth=2, num children=0
				Anna Orso, depth=2, num children=0
				Noah Taylor, depth=2, num children=0
				Seymour Cassel, depth=2, num children=0
				Seu Jorge, depth=2, num children=0
				Niccolò Senni, depth=2, num children=0
				Pietro Ragusa, depth=2, num children=0
		Stories of Lost Souls, depth=1, num children=18
				Lyndsey Marshal, depth=2, num children=0
				Keira Knightley, depth=2, num children=0
				Cate Blanchett, depth=2, num children=0
				Hugh Jackman, depth=2, num children=0
				Michael Gambon, depth=2, num children=0
				Andy Serkis, depth=2, num children=0
				Daryl Hannah, depth=2, num children=0
				Mary Elizabeth Mastrantonio, depth=2, num children=0
				Paul Bettany, depth=2, num children=0
				Joanna Lumley, depth=2, num children=0
				Illeana Douglas, depth=2, num children=0
				Billy Boyd, depth=2, num children=0
				Josh Hartnett, depth=2, num children=0
				James Gandolfini, depth=2, num children=0
				Delilah Cotto, depth=2, num children=0
				Stephen Mangan, depth=2, num children=0
				Maureen Lipman, depth=2, num children=0
				Lynette Curran, depth=2, num children=0
		Fay Grim, depth=1, num children=29
				Sibel Kekilli, depth=2, num children=0
				Jasmin Tabatabai, depth=2, num children=0
				Suzan Anbeh, depth=2, num children=0
				David Scheller, depth=2, num children=0
				Adnan Maral, depth=2, num children=0
				Tim Seyfi, depth=2, num children=0
				Ercan Özçelik, depth=2, num children=0
				Leo Fitzpatrick, depth=2, num children=0
				Parker Posey, depth=2, num children=0
				Liam Aiken, depth=2, num children=0
				Saffron Burrows, depth=2, num children=0
				Mehdi Nebbou, depth=2, num children=0
				Elina Löwensohn, depth=2, num children=0
				Anatole Taubman, depth=2, num children=0
				Nikolai Kinski, depth=2, num children=0
				Claudia Michelsen, depth=2, num children=0
				Harald Schrott, depth=2, num children=0
				Erdal Yildiz, depth=2, num children=0
